Date,Open,High,Low,Close,Adjusted_close,Volume
1980-12-12,28.7392,28.8736,28.7392,28.7392,0.0996,469033600
1980-12-15,27.3728,27.3728,27.2608,27.2608,0.0944,175884800
1980-12-16,25.3792,25.3792,25.2448,25.2448,0.0875,105728000
1980-12-17,25.872,26.0064,25.872,25.872,0.0896,86441600
1980-12-18,26.6336,26.7456,26.6336,26.6336,0.0923,73449600
1980-12-19,28.2464,28.3808,28.2464,28.2464,0.0979,48630400
1980-12-22,29.6352,29.7472,29.6352,29.6352,0.1027,37363200
1980-12-23,30.8672,31.0016,30.8672,30.8672,0.1069,46950400
1980-12-24,32.5024,32.6144,32.5024,32.5024,0.1126,48003200
1980-12-26,35.504,35.616,35.504,35.504,0.123,55574400
1980-12-29,35.9968,36.1312,35.9968,35.9968,0.1247,93161600
1980-12-30,35.2576,35.2576,35.1232,35.1232,0.1217,68880000
1980-12-31,34.2496,34.2496,34.1152,34.1152,0.1182,35750400
1981-01-02,34.496,34.7424,34.496,34.496,0.1195,21660800
1981-01-05,33.8688,33.8688,33.7568,33.7568,0.1169,35728000
1981-01-06,32.368,32.368,32.256,32.256,0.1117,45158400
1981-01-07,31.0016,31.0016,30.8672,30.8672,0.1069,55686400
1981-01-08,30.3744,30.3744,30.24,30.24,0.1048,39827200
1981-01-09,31.8752,32.0096,31.8752,31.8752,0.1104,21504000
1981-01-12,31.8752,31.8752,31.6288,31.6288,0.1096,23699200
1981-01-13,30.6208,30.6208,30.5088,30.5088,0.1057,23049600
1981-01-14,30.6208,30.7552,30.6208,30.6208,0.1061,14291200
1981-01-15,31.248,31.4944,31.248,31.248,0.1083,14067200
1981-01-16,31.136,31.136,31.0016,31.0016,0.1074,13395200
1981-01-19,32.8832,32.9952,32.8832,32.8832,0.1139,41574400
1981-01-20,32.0096,32.0096,31.8752,31.8752,0.1104,30083200
1981-01-21,32.5024,32.7488,32.5024,32.5024,0.1126,15904000
1981-01-22,32.8832,33.1296,32.8832,32.8832,0.1139,35548800
1981-01-23,32.8832,32.9952,32.7488,32.7488,0.1135,11222400
1981-01-26,32.368,32.368,32.256,32.256,0.1117,24640000
1981-01-27,32.256,32.256,32.0096,32.0096,0.1109,23699200
1981-01-28,31.136,31.136,31.0016,31.0016,0.1074,28156800
1981-01-29,29.9936,29.9936,29.8816,29.8816,0.1035,43904000
1981-01-30,28.4928,28.4928,28.2464,28.2464,0.0979,46188800
1981-02-02,26.7456,26.7456,26.6336,26.6336,0.0923,23766400
1981-02-03,27.6192,27.7536,27.6192,27.6192,0.0957,19152000
1981-02-04,28.6272,28.7392,28.6272,28.6272,0.0992,27865600
1981-02-05,28.6272,28.8736,28.6272,28.6272,0.0992,7929600
1981-02-06,28.7392,28.8736,28.7392,28.7392,0.0996,13865600
1981-02-09,27.5072,27.5072,27.2608,27.2608,0.0944,16755200
1981-02-10,27.2608,27.3728,27.2608,27.2608,0.0944,18345600
1981-02-11,26.4992,26.4992,26.3648,26.3648,0.0913,13843200
1981-02-12,26.2528,26.2528,26.1184,26.1184,0.0905,14560000
1981-02-13,25.76,25.76,25.4912,25.4912,0.0883,11155200
1981-02-17,26.1184,26.2528,26.1184,26.1184,0.0905,12275200
1981-02-18,27.2608,27.5072,27.2608,27.2608,0.0944,19241600
1981-02-19,25.76,25.76,25.6256,25.6256,0.0888,22310400
1981-02-20,24.3712,24.3712,24.2592,24.2592,0.084,24371200
1981-02-23,24.6176,24.752,24.6176,24.6176,0.0853,14112000
1981-02-24,23.9904,23.9904,23.744,23.744,0.0823,16979200
1981-02-25,25.2448,25.3792,25.2448,25.2448,0.0875,19488000
1981-02-26,25.6256,25.76,25.6256,25.6256,0.0888,10841600
1981-02-27,26.4992,26.7456,26.4992,26.4992,0.0918,14761600
1981-03-02,26.6336,26.7456,26.6336,26.6336,0.0923,11760000
1981-03-03,26.3648,26.3648,26.2528,26.2528,0.0909,16172800
1981-03-04,26.1184,26.1184,26.0064,26.0064,0.0901,13708800
1981-03-05,26.0064,26.0064,25.872,25.872,0.0896,5376000
1981-03-06,25.872,25.872,25.6256,25.6256,0.0888,11603200
1981-03-09,23.744,23.744,23.632,23.632,0.0819,15321600
1981-03-10,22.624,22.624,22.4896,22.4896,0.0779,28380800
1981-03-11,21.8848,21.8848,21.616,21.616,0.0749,29859200
1981-03-12,22.4896,22.624,22.4896,22.4896,0.0779,59248000
1981-03-13,22.3776,22.3776,22.2432,22.2432,0.0771,231302400
1981-03-16,23.1168,23.3856,23.1168,23.1168,0.0801,37228800
1981-03-17,24.2592,24.5056,24.2592,24.2592,0.084,43747200
1981-03-18,25.76,26.0064,25.76,25.76,0.0892,36937600
1981-03-19,25.6256,25.6256,25.4912,25.4912,0.0883,37811200
1981-03-20,25.76,26.0064,25.76,25.76,0.0892,14604800
1981-03-23,26.7456,26.992,26.7456,26.7456,0.0927,22019200
1981-03-24,26.7456,26.7456,26.6336,26.6336,0.0923,28156800
1981-03-25,26.3648,26.3648,26.1184,26.1184,0.0905,7056000
1981-03-26,25.76,25.76,25.6256,25.6256,0.0888,12275200
1981-03-27,24.864,24.864,24.752,24.752,0.0857,12252800
1981-03-30,24.752,24.9984,24.752,24.752,0.0857,9900800
1981-03-31,24.752,24.752,24.5056,24.5056,0.0849,15993600
1981-04-01,24.3712,24.3712,24.2592,24.2592,0.084,34070400
1981-04-02,26.3648,26.4992,26.3648,26.3648,0.0913,31404800
1981-04-03,26.4992,26.6336,26.4992,26.4992,0.0918,16486400
1981-04-06,26.1184,26.1184,26.0064,26.0064,0.0901,22803200
1981-04-07,25.872,25.872,25.76,25.76,0.0892,10684800
1981-04-08,26.992,27.2608,26.992,26.992,0.0935,21952000
1981-04-09,27.5072,27.6192,27.5072,27.5072,0.0953,12499200
1981-04-10,27.8656,28,27.8656,27.8656,0.0965,33465600
1981-04-13,27.8656,28,27.8656,27.8656,0.0965,16060800
1981-04-14,27.8656,28,27.8656,27.8656,0.0965,6652800
1981-04-15,26.6336,26.6336,26.4992,26.4992,0.0918,34048000
1981-04-16,25.1328,25.1328,24.9984,24.9984,0.0866,23878400
1981-04-20,25.76,25.872,25.76,25.76,0.0892,35347200
1981-04-21,27.5072,27.6192,27.5072,27.5072,0.0953,28537600
1981-04-22,28.4928,28.6272,28.4928,28.4928,0.0987,18995200
1981-04-23,29.2544,29.3664,29.2544,29.2544,0.1013,58016000
1981-04-24,29.2544,29.2544,29.008,29.008,0.1005,35056000
1981-04-27,28.8736,28.8736,28.7392,28.7392,0.0996,38528000
1981-04-28,28.3808,28.3808,28.2464,28.2464,0.0979,32188800
1981-04-29,28,28,27.8656,27.8656,0.0965,13641600
1981-04-30,28.3808,28.6272,28.3808,28.3808,0.0983,12611200
1981-05-01,28.3808,28.6272,28.3808,28.3808,0.0983,16553600
1981-05-04,28.3808,28.3808,28.2464,28.2464,0.0979,14448000
1981-05-05,28.2464,28.2464,28.1344,28.1344,0.0975,17539200
1981-05-06,27.5072,27.5072,27.3728,27.3728,0.0948,18950400
1981-05-07,27.7536,27.8656,27.7536,27.7536,0.0961,9363200
1981-05-08,28,28.1344,28,28,0.097,7907200
1981-05-11,27.5072,27.5072,27.3728,27.3728,0.0948,11939200
1981-05-12,27.3728,27.7536,27.3728,27.3728,0.0948,4256000
1981-05-13,27.3728,27.6192,27.2608,27.2608,0.0944,4905600
1981-05-14,27.1264,27.1264,26.88,26.88,0.0931,4928000
1981-05-15,27.5072,27.8656,27.5072,27.5072,0.0953,4905600
1981-05-18,28,28.2464,28,28,0.097,4166400
1981-05-19,27.6192,27.6192,27.5072,27.5072,0.0953,25424000
1981-05-20,28.3808,28.6272,28.3808,28.3808,0.0983,13283200
1981-05-21,29.9936,30.128,29.9936,29.9936,0.1039,32211200
1981-05-22,31.3824,31.6288,31.3824,31.3824,0.1087,31427200
1981-05-26,31.3824,31.3824,31.248,31.248,0.1083,85344000
1981-05-27,32.9952,33.1296,32.9952,32.9952,0.1143,149497600
1981-05-28,32.9952,33.1296,32.9952,32.9952,0.1143,73987200
1981-05-29,33.1296,33.2416,33.1296,33.1296,0.1148,59382400
1981-06-01,33.1296,33.2416,33.1296,33.1296,0.1148,51251200
1981-06-02,31.6288,31.6288,31.4944,31.4944,0.1091,40432000
1981-06-03,31.4944,31.7408,31.4944,31.4944,0.1091,39446400
1981-06-04,32.1216,32.256,32.1216,32.1216,0.1113,56067200
1981-06-05,31.7408,31.7408,31.6288,31.6288,0.1096,57680000
1981-06-08,30.6208,30.6208,30.5088,30.5088,0.1057,93497600
1981-06-09,31.136,31.248,31.136,31.136,0.1079,119593600
1981-06-10,31.4944,31.8752,31.4944,31.4944,0.1091,25222400
1981-06-11,32.8832,32.9952,32.8832,32.8832,0.1139,38976000
1981-06-12,32.6144,32.6144,32.5024,32.5024,0.1126,25804800
1981-06-15,32.5024,32.5024,32.368,32.368,0.1121,143763200
1981-06-16,31.8752,31.8752,31.7408,31.7408,0.11,37251200
1981-06-17,31.3824,31.3824,31.248,31.248,0.1083,27574400
1981-06-18,31.248,31.3824,31.136,31.136,0.1079,23049600
1981-06-19,30.3744,30.3744,30.24,30.24,0.1048,27507200
1981-06-22,29.2544,29.2544,29.12,29.12,0.1009,10841600
1981-06-23,29.6352,29.8816,29.6352,29.6352,0.1027,15030400
1981-06-24,29.12,29.12,28.8736,28.8736,0.1,23027200
1981-06-25,29.5008,29.6352,29.5008,29.5008,0.1022,24259200
1981-06-26,29.3664,29.3664,29.12,29.12,0.1009,23788800
1981-06-29,28.3808,28.3808,28.1344,28.1344,0.0975,10595200
1981-06-30,26.1184,26.1184,26.0064,26.0064,0.0901,35907200
1981-07-01,25.872,25.872,25.76,25.76,0.0892,170464000
1981-07-02,25.76,25.872,25.76,25.76,0.0892,30284800
1981-07-06,25.1328,25.1328,24.864,24.864,0.0861,16531200
1981-07-07,25.1328,25.3792,25.1328,25.1328,0.0871,15836800
1981-07-08,26.1184,26.2528,26.1184,26.1184,0.0905,16620800
1981-07-09,24.2592,24.2592,24.1248,24.1248,0.0836,32883200
1981-07-10,22.3776,22.3776,22.2432,22.2432,0.0771,55171200
1981-07-13,22.7584,22.8704,22.7584,22.7584,0.0788,45740800
1981-07-14,23.744,23.9904,23.744,23.744,0.0823,19779200
1981-07-15,24.3712,24.5056,24.3712,24.3712,0.0844,10953600
1981-07-16,24.9984,25.2448,24.9984,24.9984,0.0866,15232000
1981-07-17,25.872,26.0064,25.872,25.872,0.0896,19824000
1981-07-20,24.2592,24.2592,24.1248,24.1248,0.0836,23654400
1981-07-21,24.1248,24.1248,23.9904,23.9904,0.0831,31942400
1981-07-22,22.8704,22.8704,22.624,22.624,0.0784,22668800
1981-07-23,23.2512,23.3856,23.2512,23.2512,0.0805,34451200
1981-07-24,23.9904,24.1248,23.9904,23.9904,0.0831,28851200
1981-07-27,24.9984,25.1328,24.9984,24.9984,0.0866,17337600
1981-07-28,24.2592,24.2592,24.1248,24.1248,0.0836,22848000
1981-07-29,23.8784,23.8784,23.744,23.744,0.0823,15500800
1981-07-30,24.6176,24.864,24.6176,24.6176,0.0853,9900800
1981-07-31,24.9984,25.1328,24.9984,24.9984,0.0866,10953600
1981-08-03,24.9984,24.9984,24.752,24.752,0.0857,12432000
1981-08-04,25.1328,25.2448,25.1328,25.1328,0.0871,31673600
1981-08-05,25.872,26.0064,25.872,25.872,0.0896,17494400
1981-08-06,25.3792,25.3792,25.2448,25.2448,0.0875,10528000
1981-08-07,25.2448,25.3792,25.2448,25.2448,0.0875,9206400
1981-08-10,25.2448,25.2448,25.2448,25.2448,0.0875,0
1981-08-11,24.752,24.752,24.5056,24.5056,0.0849,71456000
1981-08-12,24.1248,24.1248,23.9904,23.9904,0.0831,26275200
1981-08-13,23.3856,23.3856,23.2512,23.2512,0.0805,27484800
1981-08-14,23.1168,23.1168,22.8704,22.8704,0.0792,24192000
1981-08-17,22.3776,22.3776,22.1312,22.1312,0.0767,18905600
1981-08-18,21.8848,21.8848,21.616,21.616,0.0749,17001600
1981-08-19,21.616,21.616,21.3696,21.3696,0.074,20675200
1981-08-20,21.616,21.7504,21.616,21.616,0.0749,17113600
1981-08-21,20.384,20.384,20.1152,20.1152,0.0697,41910400
1981-08-24,18.9952,18.9952,18.8832,18.8832,0.0654,23072000
1981-08-25,19.376,19.5104,19.376,19.376,0.0671,40700800
1981-08-26,19.1296,19.1296,18.9952,18.9952,0.0658,33600000
1981-08-27,19.1296,19.2416,19.1296,19.1296,0.0663,25916800
1981-08-28,20.1152,20.2496,20.1152,20.1152,0.0697,38035200
1981-08-31,20.1152,20.2496,20.1152,20.1152,0.0697,40947200
1981-09-01,21.3696,21.504,21.3696,21.3696,0.074,37027200
1981-09-02,21.7504,21.8848,21.7504,21.7504,0.0754,19376000
1981-09-03,20.8768,20.8768,20.6304,20.6304,0.0715,37475200
1981-09-04,20.496,20.496,20.384,20.384,0.0706,15254400
1981-09-08,19.8688,19.8688,19.7568,19.7568,0.0684,25446400
1981-09-09,19.7568,19.8688,19.7568,19.7568,0.0684,30531200
1981-09-10,19.8688,20.0032,19.8688,19.8688,0.0688,34809600
1981-09-11,19.7568,19.7568,19.6224,19.6224,0.068,17539200
1981-09-14,19.1296,19.1296,18.9952,18.9952,0.0658,27686400
